CS1(0+068)		
41.56	14.46	
43.75	14.52	
47.66	14.55	
52.45	14.58	
55.44	15.02	
58.96	14.99	
60.51	14.79	
62.06	14.71	
65.34	14.65	
67.98	14.67	
71.52	14.68	
75.36	14.69	
CS6(0+553)		
-35.46	14.6	
-26.85	14.51	
-21.38	14.51	
-17.68	14.28	
-13.13	14.27	
-10.15	14.25	
-8.3	14.31	
-4.84	14.32	
-3.24	14.43	
-1.58	14.42	
0	14.32	河口
1.3	13.8	
3.14	13.23	
4.6	12.7	
6.13	11.65	水
7.43	11.2	
7.45	10.99	
9.33	11.15	
9.35	10.85	
10.59	11	
10.61	10.5	
12.41	11	
12.42	10.5	
14.35	11.15	
14.36	10.9	
16.35	11.15	
16.37	11.23	
17.7	11.65	水
19.63	12.72	
21.39	13.31	
23.87	14.36	河口
24.88	14.37	
27.95	14.34	
29.7	14.35	
32.29	14.43	
35.91	14.43	
39.71	14.61	
43.06	14.6	
45.9	14.55	
48.5	14.56	
52.56	14.68	
55.31	14.69	
58.29	14.45	
59.27	14.35	
60.46	14.56	
61.79	14.97	
61.9	15.12	
65.08	15.16	
CS7(0+644)		
-43.43	15.16	
-39.95	15.15	
-34.77	14.88	
-29.62	14.86	
-25.9	14.99	
-23.3	15.07	
-20.91	15.05	
-20.24	14.92	
-18.35	14.52	
-16.53	14.55	
-12.42	14.53	
-8.11	14.51	
-3.89	14.49	
-1.15	14.41	
0	14.37	河口
2.22	13.47	
4.3	12.82	
5.6	12.27	
6.33	11.7	水
7.68	11.03	
7.69	11.38	
9.33	11.3	
9.33	10.9	
10.32	10.8	
10.33	11.2	
11.32	10.65	
11.33	11.15	
13.08	11.15	
13.08	10.65	
14.08	11.18	
14.1	10.82	
15.08	11.23	
15.08	10.83	
16.91	11	
16.94	11.27	
18.08	11.7	水
18.8	12.25	
20.75	12.74	
22.45	13.55	
23.82	14.11	
25.63	14.2	河口
28.55	14.22	
31.26	14.38	
34.14	14.34	
37.52	14.44	
40.68	14.46	
43.47	14.42	
47.19	14.4	
50.55	14.56	
51.65	14.84	
53.65	14.71	
57.15	15.02	
58.18	14.86	
59.55	14.93	
61.92	15.02	
66.02	15.12	
70.25	15.06	
74.25	15.05	
80.17	15.04	
CS8(0+740)		
-47.55	15.03	
-43.02	15.01	
-35.76	14.88	
-29.84	15.1	
-26.51	14.94	
-26.1	15.12	
-23.93	15.1	
-22.66	15.21	
-22.18	14.63	
-19.69	13.49	
-15.26	13.47	
-12.41	13.49	
-7.63	13.52	
-3.62	13.56	
-1.05	13.47	
0	13.34	河口
1.12	12.95	
2.65	12.41	
4.39	11.65	水
5.36	11.03	
5.36	11.27	
7.01	11.21	
7.02	10.71	
8.38	10.55	
8.39	11.15	
10.11	11.15	
10.11	10.55	
11.55	11.22	
11.57	10.72	
13.78	10.86	
13.81	11.43	
15.11	11.65	水
16.68	12.76	
18.66	13.55	
20.1	14.4	河口
21.99	14.4	
27.14	14.55	
32	14.68	
34.65	14.67	
36.44	14.64	
39.02	14.57	
42.52	14.65	
45.03	14.57	
47.04	14.61	
47.9	15.04	
49.72	15.05	
53.86	14.96	
58.17	14.84	
63.58	14.82	
67.98	14.84	
71.68	14.9	
76.03	14.92	
CS9(0+840)		
-27.85	14.61	
-25.13	14.49	
-22.59	14.48	
-21.56	14.35	
-20.86	14.06	
-20.4	13.58	
-19.84	13.34	
-19.1	13.34	
-18.42	13.53	
-15.45	13.57	
-11.34	13.45	
-9.43	13.69	
-6.47	13.7	
-3.43	13.23	
0	13.17	河口
1.78	12.53	
3.39	12.15	
4.37	11.66	水
5.4	11.21	
5.43	10.96	
7.37	10.7	
7.37	11.1	
8.37	10.5	
8.37	11	
9.88	11	
9.88	10.5	
10.88	11.02	
10.88	10.62	
11.59	10.67	
11.61	11.03	
12.77	11.25	
12.78	11.05	
13.88	11.66	水
14.44	12.21	
15.73	12.86	
17.01	13.34	
18.64	13.54	
20.39	13.55	河口
23.72	13.53	
26.41	13.51	
29.49	13.42	
31.23	13.49	
32.91	13.42	
36.76	13.34	
38.9	13.4	
41.44	13.66	
42.43	13.84	
43.92	14.83	
46.23	14.83	
48.78	14.84	
51.65	14.86	
56.9	14.84	
61.76	14.82	
65.47	14.9	
70.96	14.92	
75.27	14.95	
79.95	14.94	
83.76	14.93	
CS10(0+945)		
-44.23	15.15	
-38.26	15.17	
-33.27	15.14	
-29.48	15.13	
-26.05	14.83	
-22.39	14.91	
-20.02	14.92	
-17.45	14.74	
-15.61	14.76	
-13.46	15.08	
-9.38	15.09	
-5.56	14.97	
-1.25	14.78	
0	14.71	河口
1.22	13.9	
3.78	12.89	
6.3	11.62	水
7.77	10.69	
7.77	11.13	
9.29	10.6	
9.3	11.1	
10.29	10.5	
10.3	11	
11.55	11	
11.56	10.5	
12.55	11.1	
12.56	10.7	
14.1	11.13	
14.13	11.3	
15.55	11.62	水
17.12	12.78	
18.76	13.32	
20.24	14.09	河口
23.03	14.14	
24.37	14.34	
26.2	14.18	
29.09	14.23	
32.68	14.26	
34.74	14.29	
36.03	14.49	
37.23	15.23	
38.25	15.38	
40.72	15.42	
44.47	15.47	
48.35	15.44	
49.98	15.5	
52.12	15.6	
53.29	15.7	
54.33	15.73	
55.72	15.74	
57.46	15.73	
59.96	15.96	
61.67	15.99	
63.29	15.6	
65.37	15.63	
66.96	15.64	
68.82	15.66	
CS11(1+040)		
-27.48	12.43	水
-26.71	12.68	河口
-23.52	12.71	
-21.29	12.7	
-18.29	12.69	
-15.34	12.68	
-13.37	12.54	
-11.2	12.55	
-10.03	12.7	
-8.48	12.71	
-7.25	12.52	
-5.68	12.56	
-3.77	12.76	
-2.4	12.81	
-1.44	12.93	
-0.84	13.09	
0	13.1	河口
0.85	12.3	
1.91	11.7	水
3.09	11.21	
3.09	11.08	
4.17	10.75	
4.21	11.02	
6.16	11	
6.18	10.6	
7.5	11	
7.5	10.6	
8.5	11.2	
8.53	10.8	
9.7	10.91	
9.7	11.37	
10.5	11.7	水
11.55	11.92	
12.46	12.2	
13.28	12.75	
13.72	13.47	河口
16.39	13.46	
18.93	13.45	
21.42	13.49	
24.83	13.58	
28.44	13.69	
30.86	13.75	
33.34	13.81	
35.33	13.97	
38.92	14	
40.67	14.03	
43.1	14.13	
43.5	14.14	
47.04	14.23	
50.25	14.21	
53.31	14.37	
55.31	14.59	
58.11	14.85	
60.43	15.12	
61.23	15.2	
62.65	15.3	
65.74	15.46	
